"Group","Smoke","Vape","Dab","Eat","Sublingual","Topical","Pill"
"Overall","81.4%","43%","20.1%","48.9%","6.7%","8.9%","3.2%"
"Male","84.4%","43.3%","21.9%","45.5%","6%","5.4%","3%"
"Female","77.5%","42.5%","17.7%","53.2%","7.5%","13.3%","3.6%"
"12-17","84.8%","74.1%","25.2%","42.7%","2.1%","4.8%","3%"
"18-25","89.3%","58.9%","34.8%","52.1%","4.8%","6.6%","2.8%"
"26-34","83.1%","50%","24%","53.3%","6.4%","8.1%","3%"
"35+","77.5%","32.1%","12.7%","46.3%","7.7%","10.3%","3.5%"
"Less than HS","87.4%","50.4%","23.6%","34.7%","2.9%","6.9%","2.9%"
"HS grad/GED","89%","40.2%","25.5%","36.4%","4.4%","7.3%","2.5%"
"Some college","81.7%","43.6%","20.9%","49.4%","6.9%","11%","3.2%"
"College grad","70.2%","44%","11.5%","67.1%","10%","8.6%","4.3%"
"<$20k","87.5%","44.7%","24.5%","42.1%","5.2%","9%","2.8%"
"$20-49k","83.6%","43.3%","23.6%","47.9%","7.3%","9%","3.8%"
"$50-74k","77.7%","41.2%","16.3%","51.5%","7.3%","9%","2.7%"
"$75k+","68%","40.6%","9%","64.3%","8.7%","8.1%","4.2%"
